OBJECT_NAME,OBJECT_ID,epoch_iso,mm_rev_day,ecc,inc_deg,raan_deg,argp_deg,mean_anom_deg,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,norad,ELEMENT_SET_NO,REV_AT_EPOCH,bstar,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,"Invalid query: ""GROUP=rocket-bodies&FORMAT=csv"" (GROUP=rocket-bodies not found)",label
STARLINK-34866,2025-175R,2025-09-04T22:00:03.000096,15.49210117,0.0001683,97.6034,118.8383,90.3416,201.3996,0.0,U,65189,999.0,469.0,-0.0013836592,-0.00074708,0.0,,Payload
STARLINK-34917,2025-175S,2025-09-04T22:00:03.000096,15.49182806,0.0001777,97.6032,118.8392,93.1028,200.5629,0.0,U,65190,999.0,458.0,-0.00031288077,-0.00017076,0.0,,Payload
STARLINK-34948,2025-175T,2025-09-04T22:00:03.000096,15.4920408,0.0001814,97.6032,118.8394,87.8372,207.7478,0.0,U,65191,999.0,469.0,-0.0011789049,-0.00063743,0.0,,Payload
STARLINK-34955,2025-175U,2025-09-04T22:00:03.000096,15.49191919,0.0001993,97.6032,118.8401,99.6731,197.8324,0.0,U,65192,999.0,463.0,-0.00073315479,-0.00039782,0.0,,Payload
STARLINK-34950,2025-175V,2025-09-04T22:00:03.000096,15.49192312,0.00016501,97.6032,118.8416,91.2153,208.2161,0.0,U,65193,999.0,463.0,-0.00087676557,-0.00047508,0.0,,Payload
STARLINK-34926,2025-175W,2025-09-04T22:00:03.000096,15.49211899,0.00018899,97.6033,118.845,94.2573,212.8478,0.0,U,65194,999.0,463.0,-0.0013830418,-0.00074681,0.0,,Payload
STARLINK-34928,2025-175X,2025-09-04T22:00:03.000096,15.49199398,0.00021661,97.6032,118.8432,92.4457,212.7405,0.0,U,65195,999.0,469.0,-0.000989335,-0.0005357,0.0,,Payload
STARLINK-34927,2025-175Y,2025-09-04T22:00:03.000096,15.49202602,0.00020013,97.603,118.8419,79.1879,222.1611,0.0,U,65196,999.0,469.0,-0.001211319,-0.00065476,0.0,,Payload
STARLINK-34952,2025-175Z,2025-09-04T22:00:03.000096,15.49208137,0.00019968,97.6031,118.8426,100.8604,202.4043,0.0,U,65197,999.0,469.0,-0.0012631123,-0.00068261,0.0,,Payload
STARLINK-34981,2025-176A,2025-09-04T22:00:03.000096,15.55041338,8.077e-05,53.1591,300.1359,90.5241,290.0956,0.0,U,65198,999.0,465.0,-0.024070629,-0.01469374,0.0,,Payload
STARLINK-34821,2025-176B,2025-09-04T22:00:03.000096,15.5396732,0.00011216,53.1596,300.3572,78.8198,193.9936,0.0,U,65199,999.0,459.0,-0.02586976,-0.01512572,0.0,,Payload
STARLINK-34865,2025-176C,2025-09-04T22:00:03.000096,15.53969994,0.00011549,53.1595,300.3606,77.1942,193.7008,0.0,U,65200,999.0,465.0,-0.025950202,-0.01542344,0.0,,Payload
STARLINK-34843,2025-176D,2025-09-04T22:00:03.000096,15.53972132,0.00011641,53.1592,300.3535,79.4639,195.2637,0.0,U,65201,999.0,465.0,-0.025986614,-0.01544418,0.0,,Payload
STARLINK-34905,2025-176E,2025-09-04T22:00:03.000096,15.53970978,0.00010902,53.1592,300.3494,77.8267,198.8191,0.0,U,65202,999.0,465.0,-0.025990271,-0.01544525,0.0,,Payload
